i,X,S
1,4804820,5055276
2,4845340,5055276
3,4874500,5055276
4,4877292,5055276
5,4886202,5055276
6,4890748,5055276
7,4890822,5055276
8,4906426,5055276
9,4913416,5055276
10,4923976,5055276
11,4924166,5055276
12,4935736,5055276
13,4947106,5055276
14,4948948,5055276
15,4956964,5055276
16,4960944,5055276
17,4963984,5055276
18,4964910,5055276
19,4971546,5055276
20,4972628,5055276
21,4975626,5055276
22,4976032,5055276
23,4981346,5055276
24,4981632,5055276
25,4981802,5055276
26,4987156,5055276
27,4990244,5055276
28,4990556,5055276
29,4993382,5055276
30,4994576,5055276
31,4998868,5055276
32,4998976,5055276
33,5005034,5055276
34,5010560,5055276
35,5012138,5055276
36,5018164,5055276
37,5019976,5055276
38,5021002,5055276
39,5023844,5055276
40,5032198,5055276
41,5032904,5055276
42,5033330,5055276
43,5039084,5055276
44,5044884,5055276
45,5045412,5055276
46,5046644,5055276
47,5046830,5055276
48,5052068,5055276
49,5052156,5055276
50,5053390,5055276
51,5054304,5055276
52,5058712,5055276
53,5059168,5055276
54,5060336,5055276
55,5061680,5055276
56,5069172,5055276
57,5074620,5055276
58,5078056,5055276
59,5081486,5055276
60,5092072,5055276
61,5092136,5055276
62,5092302,5055276
63,5094252,5055276
64,5099208,5055276
65,5102574,5055276
66,5104174,5055276
67,5108944,5055276
68,5112308,5055276
69,5114364,5055276
70,5114562,5055276
71,5118840,5055276
72,5121766,5055276
73,5124664,5055276
74,5125328,5055276
75,5136050,5055276
76,5137376,5055276
77,5140246,5055276
78,5141088,5055276
79,5142592,5055276
80,5152292,5055276
81,5153616,5055276
82,5154886,5055276
83,5158054,5055276
84,5158194,5055276
85,5163394,5055276
86,5170668,5055276
87,5171644,5055276
88,5178892,5055276
89,5189846,5055276
90,5190306,5055276
91,5199642,5055276
92,5202524,5055276
93,5206622,5055276
94,5224932,5055276
95,5227336,5055276
96,5229114,5055276
97,5231038,5055276
98,5237692,5055276
99,5261162,5055276
100,5276112,5055276
