i,X,S,t,m
1,4878148,5055276,12,4096
2,4879160,5055276,12,4096
3,4883004,5055276,12,4096
4,4883382,5055276,12,4096
5,4884192,5055276,12,4096
6,4891972,5055276,12,4096
7,4903860,5055276,12,4096
8,4914124,5055276,12,4096
9,4926478,5055276,12,4096
10,4926618,5055276,12,4096
11,4937354,5055276,12,4096
12,4942808,5055276,12,4096
13,4943192,5055276,12,4096
14,4943510,5055276,12,4096
15,4945964,5055276,12,4096
16,4955100,5055276,12,4096
17,4960882,5055276,12,4096
18,4961216,5055276,12,4096
19,4965804,5055276,12,4096
20,4977634,5055276,12,4096
21,4980290,5055276,12,4096
22,4989158,5055276,12,4096
23,4993032,5055276,12,4096
24,4994448,5055276,12,4096
25,4998030,5055276,12,4096
26,5001396,5055276,12,4096
27,5002470,5055276,12,4096
28,5002552,5055276,12,4096
29,5003022,5055276,12,4096
30,5003286,5055276,12,4096
31,5013930,5055276,12,4096
32,5020456,5055276,12,4096
33,5021218,5055276,12,4096
34,5021536,5055276,12,4096
35,5022244,5055276,12,4096
36,5022748,5055276,12,4096
37,5024948,5055276,12,4096
38,5027020,5055276,12,4096
39,5027386,5055276,12,4096
40,5027716,5055276,12,4096
41,5027742,5055276,12,4096
42,5028462,5055276,12,4096
43,5031386,5055276,12,4096
44,5032112,5055276,12,4096
45,5042056,5055276,12,4096
46,5045054,5055276,12,4096
47,5045090,5055276,12,4096
48,5045100,5055276,12,4096
49,5048262,5055276,12,4096
50,5051638,5055276,12,4096
51,5053588,5055276,12,4096
52,5054844,5055276,12,4096
53,5058626,5055276,12,4096
54,5073106,5055276,12,4096
55,5079626,5055276,12,4096
56,5079682,5055276,12,4096
57,5080536,5055276,12,4096
58,5085568,5055276,12,4096
59,5088768,5055276,12,4096
60,5090926,5055276,12,4096
61,5092098,5055276,12,4096
62,5095184,5055276,12,4096
63,5098296,5055276,12,4096
64,5100290,5055276,12,4096
65,5102106,5055276,12,4096
66,5102224,5055276,12,4096
67,5102290,5055276,12,4096
68,5102740,5055276,12,4096
69,5109342,5055276,12,4096
70,5110002,5055276,12,4096
71,5114030,5055276,12,4096
72,5115260,5055276,12,4096
73,5116226,5055276,12,4096
74,5120626,5055276,12,4096
75,5127182,5055276,12,4096
76,5128116,5055276,12,4096
77,5130136,5055276,12,4096
78,5137918,5055276,12,4096
79,5140594,5055276,12,4096
80,5143438,5055276,12,4096
81,5149360,5055276,12,4096
82,5151248,5055276,12,4096
83,5157420,5055276,12,4096
84,5161266,5055276,12,4096
85,5164946,5055276,12,4096
86,5166256,5055276,12,4096
87,5167474,5055276,12,4096
88,5172168,5055276,12,4096
89,5176368,5055276,12,4096
90,5179440,5055276,12,4096
91,5203554,5055276,12,4096
92,5210342,5055276,12,4096
93,5217756,5055276,12,4096
94,5219820,5055276,12,4096
95,5233720,5055276,12,4096
96,5234026,5055276,12,4096
97,5236938,5055276,12,4096
98,5238024,5055276,12,4096
99,5266974,5055276,12,4096
100,5330824,5055276,12,4096
